Street,City,State,ZIP,Phone,Website,Lat,Long
2611 East State Hwy 66,Elk City,OK,73644,5803034536,https://www.wyndhamhotels.com/laquinta/elk-city-oklahoma/la-quinta-elk-city/overview,35.422777019172,-99.373967004648
8949 N Garnett Rd.,Owasso,OK,74055,9183764447,https://www.wyndhamhotels.com/laquinta/owasso-oklahoma/la-quinta-owasso/overview,36.284720979764,-95.847420969907
3003 W Memorial Rd.,Oklahoma City,OK,73134,4052375177,https://www.wyndhamhotels.com/laquinta/oklahoma-city-oklahoma/la-quinta-okc-north-quail-springs/overview,35.610898987209,-97.570079014436
5401 Enterprise Crt.,Shawnee,OK,74804,4052757930,https://www.wyndhamhotels.com/laquinta/shawnee-oklahoma/la-quinta-shawnee/overview,35.385882982698,-96.909685040316
1137 S George Nigh Expwy.,McAlester,OK,74501,9184234400,https://www.wyndhamhotels.com/laquinta/mcalester-oklahoma/la-quinta-mcalester/overview,34.898130984464,-95.761684996896
2140 Riverwalk Dr.,Moore,OK,73160,4053784367,https://www.wyndhamhotels.com/laquinta/moore-oklahoma/la-quinta-oklahoma-city-moore/overview,35.318427018504,-97.491809976051
4914 W Owen K. Garriott Rd.,Enid,OK,73703,5802337100,https://www.wyndhamhotels.com/laquinta/enid-oklahoma/la-quinta-enid/overview,36.392473991212,-97.938621993148
2715 Chapman Rd.,Clinton,OK,73601,5805474128,https://www.wyndhamhotels.com/laquinta/clinton-oklahoma/la-quinta-clinton-historic-route-66/overview,35.495007985968,-98.992310035505
1408 NW 40th Street,Lawton,OK,73505,5803556800,https://www.wyndhamhotels.com/laquinta/lawton-oklahoma/la-quinta-lawton-fort-sill/overview,34.624227990687,-98.443322031965
5285 W 6th Avenue,Stillwater,OK,74074,4055640599,https://www.wyndhamhotels.com/laquinta/stillwater-oklahoma/la-quinta-stillwater-university-area/overview,36.114352008381,-97.130836023544
3410 Williams Avenue,Woodward,OK,73801,5802901011,https://www.wyndhamhotels.com/laquinta/woodward-oklahoma/la-quinta-woodward/overview,36.411583012162,-99.376126015268
23 N 67th E Avenue,Tulsa,OK,74115,9189493600,https://www.wyndhamhotels.com/laquinta/tulsa-oklahoma/la-quinta-tulsa-airport-expo-square/overview,36.161638012231,-95.901799991681
2009 S Cherokee St.,Catoosa,OK,74015,9187394600,https://www.wyndhamhotels.com/laquinta/catoosa-oklahoma/la-quinta-tulsa-catoosa-route-66/overview,36.167967019681,-95.760556038358
417 Criswell Boulevard,Durant,OK,74701,5809106701,https://www.wyndhamhotels.com/laquinta/durant-oklahoma/la-quinta-durant/overview,34.00151004822,-96.405002600261
930 Ed Noble Dr,Norman,OK,73072,4055794000,https://www.wyndhamhotels.com/laquinta/norman-oklahoma/la-quinta-oklahoma-city-norman/overview,35.207213999334,-97.483102016842
5653 Tinker Diagonal,Midwest City,OK,73110,4057331339,https://www.wyndhamhotels.com/laquinta/midwest-city-oklahoma/la-quinta-midwest-city-tinker-afb/overview,35.446136000308,-97.422379989839
2602B Rina Park Road,Ardmore,OK,73401,5802260100,https://www.wyndhamhotels.com/laquinta/ardmore-oklahoma/la-quinta-inn-and-suites-ardmore/overview,34.191217448857,-97.161673392496
707 South Houston,Tulsa,OK,74127,9189216493,https://www.wyndhamhotels.com/laquinta/tulsa-oklahoma/la-quinta-inn-and-suites-by-wyndham-tulsa-downtown-route-66/overview,36.147737003,-95.997544040902
2854 E 51st St,Tulsa,OK,74105,9187704367,https://www.wyndhamhotels.com/laquinta/tulsa-oklahoma/la-quinta-inn-and-suites-tulsa-midtown/overview,36.089330979664,-95.946577040454
7011 N land Crcl,Brooklyn Park,MN,55428,7634046176,https://www.wyndhamhotels.com/laquinta/brooklyn-park-minnesota/la-quinta-minneapolis-northwest/overview,45.081873403435,-93.390633349023
1805 Maple Grove Road,Duluth,MN,55811,2185240494,https://www.wyndhamhotels.com/laquinta/duluth-minnesota/la-quinta-duluth/overview,46.809705010061,-92.164148014115
4353 Canal Place SE,Rochester,MN,55904,5072894200,https://www.wyndhamhotels.com/laquinta/rochester-minnesota/la-quinta-rochester-mayo-clinic-s/overview,43.960257998649,-92.46287803746
7815 Nicollet Avenue South,Bloomington,MN,55420,9528817311,https://www.wyndhamhotels.com/laquinta/bloomington-minnesota/la-quinta-inn-minneapolis-airport-bloomington/overview,44.860470376378,-93.2772140453
700 Bielenberg Dr.,Woodbury,MN,55125,6519680448,https://www.wyndhamhotels.com/laquinta/woodbury-minnesota/la-quinta-st-paul-woodbury/overview,44.938702660119,-92.955028355566
5151 American Blvd. W,Bloomington,MN,55437,9528301300,https://www.wyndhamhotels.com/laquinta/bloomington-minnesota/la-quinta-minneapolis-bloomington-w/overview,44.855981783409,-93.347044183569
10420 Wayzata Boulevard,Minnetonka,MN,55305,9525411094,https://www.wyndhamhotels.com/laquinta/minnetonka-minnesota/la-quinta-minneapolis-minnetonka/overview,44.973970188281,-93.411141519161
318 Taylor Rd.,Hazelwood,MO,63042,3146567457,https://www.wyndhamhotels.com/laquinta/hazelwood-missouri/la-quinta-inn-st-louis-hazelwood-airport-north/overview,38.780741984388,-90.355809987688
3320 South Rangeline Rd,Joplin,MO,64804,4177810500,https://www.wyndhamhotels.com/laquinta/joplin-missouri/la-quinta-joplin/overview,37.053093983351,-94.479317010604
3402 NW Jefferson St.,Blue Springs,MO,64015,8162957097,https://www.wyndhamhotels.com/laquinta/blue-springs-missouri/la-quinta-blue-springs/overview,39.035582068507,-94.303701244881
11805 Lackland Road,St. Louis,MO,63146,3149913262,https://www.wyndhamhotels.com/laquinta/st-louis-missouri/la-quinta-st-louis-westport/overview,38.698916001571,-90.4345459819
2535 South Campbell Avenue,Springfield,MO,65807,4178906060,https://www.wyndhamhotels.com/laquinta/springfield-missouri/la-quinta-springfield-south/overview,37.168320006304,-93.296260998257
6901 NW 83rd Street,Kansas City,MO,64152,8165334479,https://www.wyndhamhotels.com/laquinta/kansas-city-missouri/la-quinta-kansas-city-airport/overview,39.243737989684,-94.660623024525
2214 Taney,N. Kansas City,MO,64116,8165481456,https://www.wyndhamhotels.com/laquinta/n-kansas-city-missouri/la-quinta-inn-kansas-city-north/overview,39.14713198745,-94.558663961738
1001 Veterans Blvd.,Festus,MO,63028,6366381800,https://www.wyndhamhotels.com/laquinta/festus-missouri/la-quinta-festus-st-louis-south/overview,38.214220003325,-90.403693034502
2500 I-70 Dr. SW,Columbia,MO,65203,5733555794,https://www.wyndhamhotels.com/laquinta/columbia-missouri/la-quinta-columbia/overview,38.96785498083,-92.376032971021
2445 N Airport Plaza Ave.,Springfield,MO,65803,4177086553,https://www.wyndhamhotels.com/laquinta/springfield-missouri/la-quinta-springfield-airport-plaza/overview,37.242858008129,-93.346481003494
3226 Shepherd of the Hill Expo,Branson,MO,65616,4173129824,https://www.wyndhamhotels.com/laquinta/branson-missouri/la-quinta-branson/overview,36.653634983419,-93.280306967572
2321 Troost Ave,Kansas City,MO,64108,8168750711,https://www.wyndhamhotels.com/laquinta/kansas-city-missouri/la-quinta-inn-and-suites-kansas-city-beacon-hill/overview,39.084282004779,-94.57023702309
1580 S Kirkwood Road,St. Louis,MO,63127,3147170101,https://www.wyndhamhotels.com/laquinta/st-louis-missouri/la-quinta-inn-and-suites-st-louis-route-66/overview,38.556461994795,-90.406084978211
3003 South Old Orchard Road,Jackson,MO,63755,5739875501,https://www.wyndhamhotels.com/laquinta/jackson-missouri/la-quinta-inn-and-suites-jackson-cape-girardeau/overview,37.352312001098,-89.612188995635
350 Meijer Dr.,Florence,KY,41042,8592828212,https://www.wyndhamhotels.com/laquinta/florence-kentucky/la-quinta-cincinnati-airport-florence/overview,39.011869988875,-84.63522502437
1953 Mel Browning Street,Bowling Green,KY,42104,2707830083,https://www.wyndhamhotels.com/laquinta/bowling-green-kentucky/la-quinta-bowling-green/overview,36.930374999964,-86.417521986373
100 Canebrake Dr.,Lexington,KY,40509,8595431877,https://www.wyndhamhotels.com/laquinta/lexington-kentucky/la-quinta-lexington-south-hamburg/overview,37.960890013706,-84.384279979572
1920 Stanton Way,Lexington,KY,40511,8592317551,https://www.wyndhamhotels.com/laquinta/lexington-kentucky/la-quinta-inn-lexington/overview,38.100288020494,-84.481973994748
3960 Coleman Crossing Cir.,Paducah,KY,42001,2704434800,https://www.wyndhamhotels.com/laquinta/paducah-kentucky/la-quinta-paducah/overview,37.086285020731,-88.682999959534
345 Griffin Bell Dr.,Hopkinsville,KY,42240,2702162705,https://www.wyndhamhotels.com/laquinta/hopkinsville-kentucky/la-quinta-hopkinsville/overview,36.824592993047,-87.475728964189
210 Commerce Drive,Elizabethtown,KY,42701,2707654747,https://www.wyndhamhotels.com/laquinta/elizabethtown-kentucky/la-quinta-elizabethtown/overview,37.708924011192,-85.833415987824
1501 Alliant Ave.,Louisville,KY,40299,5024389021,https://www.wyndhamhotels.com/laquinta/louisville-kentucky/la-quinta-louisville-east/overview,38.220462006619,-85.536005024582
13825 Terra View Trl,Louisville,KY,40245,5022085205,https://www.wyndhamhotels.com/laquinta/louisville-kentucky/la-quinta-inn-and-suites-louisville-ne-old-henry-rd/overview,38.27180799482,-85.493639030258
3305 East John Rowan Blvd,Bardstown,KY,40004,5022336680,https://www.wyndhamhotels.com/laquinta/bardstown-kentucky/la-quinta-inn-and-suites-bardstown/overview,37.80715435763,-85.430207816554
546 South Padre Isl Dr.,Corpus Christi,TX,78405,3612992600,https://www.wyndhamhotels.com/laquinta/corpus-christi-texas/la-quinta-corpus-christi-airport/overview,27.757041001579,-97.459717009896
101 South Frontage Road I-20 West,Pecos,TX,79772,4324457830,https://www.wyndhamhotels.com/laquinta/pecos-texas/la-quinta-pecos/overview,31.394650983342,-103.50113700307
6790 SW FRWY.,Houston,TX,77074,7137843838,https://www.wyndhamhotels.com/laquinta/houston-texas/la-quinta-houston-southwest/overview,29.714074996167,-95.503710971914
2427 Hwy 71 S,Columbus,TX,78934,9797330522,https://www.wyndhamhotels.com/laquinta/columbus-texas/la-quinta-columbus-tx/overview,29.690616982845,-96.538272014138
1603 E. Oltorf Boulevard,Austin,TX,78741,5124476661,https://www.wyndhamhotels.com/laquinta/austin-texas/la-quinta-inn-austin-oltorf/overview,30.232902020324,-97.740022017499
14000 Medical Complex Dr.,Tomball,TX,77375,2815160400,https://www.wyndhamhotels.com/laquinta/tomball-texas/la-quinta-tomball/overview,30.084631014655,-95.633244987406
203 E. Hwy 90,Luling,TX,78648,8303515320,https://www.wyndhamhotels.com/laquinta/luling-texas/la-quinta-luling/overview,29.655337007556,-97.59128003269
8300 John Carpenter Fwy.,Dallas,TX,75247,2144149000,https://www.wyndhamhotels.com/laquinta/dallas-texas/la-quinta-dallas-love-field/overview,32.822716018568,-96.876967035642
108 Texas Ave,Bridge City,TX,77611,4097352221,https://www.wyndhamhotels.com/laquinta/bridge-city-texas/la-quinta-bridge-city/overview,30.017270017423,-93.849114986998
2421 Walnut Hill Ln.,Dallas,TX,75229,9723017281,https://www.wyndhamhotels.com/laquinta/dallas-texas/la-quinta-dallas-i35-walnut-hill-ln/overview,32.882068987415,-96.896628968835
641 N Interstate 35 E,DeSoto,TX,75115,9729206539,https://www.wyndhamhotels.com/laquinta/desoto-texas/la-quinta-dallas-south-desoto/overview,32.601095984038,-96.825183973101
1120 S. 10th St.,McAllen,TX,78501,9566886764,https://www.wyndhamhotels.com/laquinta/mcallen-texas/la-quinta-mcallen-la-plaza-mall/overview,26.193219980315,-98.233658027944
4424 Westway Park Blvd.,Houston,TX,77041,7139391400,https://www.wyndhamhotels.com/laquinta/houston-texas/la-quinta-houston-west-at-clay-road/overview,29.83317400321,-95.559070005808
11155 W Loop 1604 N,San Antonio,TX,78254,2104478000,https://www.wyndhamhotels.com/laquinta/san-antonio-texas/la-quinta-san-antonio-northwest/overview,29.547457010274,-98.674816032255
6511 West Military Drive,San Antonio,TX,78227,2106743200,https://www.wyndhamhotels.com/laquinta/san-antonio-texas/la-quinta-inn-san-antonio-lackland/overview,29.400332020316,-98.628398980307
7540 Memorial Blvd.,Port Arthur,TX,77642,4097228383,https://www.wyndhamhotels.com/laquinta/port-arthur-texas/la-quinta-port-arthur/overview,29.937547012203,-93.980469970955
1465 East Main Street,Fredericksburg,TX,78624,8309902899,https://www.wyndhamhotels.com/laquinta/fredericksburg-texas/la-quinta-fredericksburg/overview,30.254250979169,-98.849818016798
1220 N Central Exwy.,Allen,TX,75013,9452600618,https://www.wyndhamhotels.com/laquinta/allen-texas/la-quinta-allen-at-the-village/overview,33.116731011829,-96.667365979714
18201 Kenswick Drive,Humble,TX,77338,2814461300,https://www.wyndhamhotels.com/laquinta/humble-texas/la-quinta-by-wyndham-houston-bush-intl-airport-e/overview,29.984702006907,-95.296513007626
909 E Frontage Road,Alamo,TX,78516,9567836955,https://www.wyndhamhotels.com/laquinta/alamo-texas/la-quinta-alamo-mcallen-east/overview,26.190331753587,-98.118166773965
801 S. Ware Rd.,McAllen,TX,78501,9566826765,https://www.wyndhamhotels.com/laquinta/mcallen-texas/la-quinta-mcallen-convention-center/overview,26.199147997517,-98.262042001943
308 SE Georgia Avenue,Sweetwater,TX,79556,3259336600,https://www.wyndhamhotels.com/laquinta/sweetwater-texas/la-quinta-sweetwater-east/overview,32.452387987847,-100.38989800978
1112 S Fort Hood St.,Killeen,TX,76541,2543124338,https://www.wyndhamhotels.com/laquinta/killeen-texas/la-quinta-inn-killeen-fort-hood/overview,31.109673986728,-97.745851966434
930 Normandy St.,Houston,TX,77015,8323786093,https://www.wyndhamhotels.com/laquinta/houston-texas/la-quinta-houston-east-at-normandy/overview,29.772967002249,-95.206980032477
5215 I-10 E,Baytown,TX,77521,2818392974,https://www.wyndhamhotels.com/laquinta/baytown-texas/la-quinta-houston-baytown-east/overview,29.822306228651,-94.887703971627
4424 S. Mopac Expwy,Austin,TX,78735,5128993000,https://www.wyndhamhotels.com/laquinta/austin-texas/la-quinta-austin-southwest/overview,30.240801000148,-97.81744398075
1126 State Hwy 332 West,Clute,TX,77531,9792657461,https://www.wyndhamhotels.com/laquinta/clute-texas/la-quinta-inn-clute-lake-jackson/overview,29.010614007251,-95.412109007785
201 Buddy Ganem Drive,Portland,TX,78374,3617047911,https://www.wyndhamhotels.com/laquinta/portland-texas/la-quinta-corpus-christi-portland/overview,27.898266011802,-97.310523994877
431 Airport Freeway,Euless,TX,76040,8178364000,https://www.wyndhamhotels.com/laquinta/euless-texas/la-quinta-dfw-airport-west-euless/overview,32.836032012867,-97.089332024143
18869 IH-35 N,Kyle,TX,78640,5122955599,https://www.wyndhamhotels.com/laquinta/kyle-texas/la-quinta-kyle-austin-south/overview,30.032850005679,-97.845172992835
4465 N I-35,Denton,TX,76207,9408080444,https://www.wyndhamhotels.com/laquinta/denton-texas/la-quinta-denton-university-drive/overview,33.237031019869,-97.17782203908
402 Hwy 59 Loop South,Livingston,TX,77351,9362620485,https://www.wyndhamhotels.com/laquinta/livingston-texas/la-quinta-livingston/overview,30.703259976908,-94.953006522242
15510 J.F.K. Boulevard,Houston,TX,77032,2818702196,https://www.wyndhamhotels.com/laquinta/houston-texas/la-quinta-houston-bush-iah-south/overview,29.942690986182,-95.330686026872
226 Spur 5,Winnie,TX,77665,4092968800,https://www.wyndhamhotels.com/laquinta/winnie-texas/la-quinta-winnie/overview,29.829665003265,-94.382354987032
5520 E Sam Houston Parkway N,Houston,TX,77015,2814524402,https://www.wyndhamhotels.com/laquinta/houston-texas/la-quinta-houston-channelview/overview,29.803527002131,-95.162345978973
14430 S Padre Island Dr.,Corpus Christi,TX,78418,3619499777,https://www.wyndhamhotels.com/laquinta/corpus-christi-texas/la-quinta-corpus-christi-n-padre-isl/overview,27.62095698976,-97.220959000858
2511 East Montgomery Place,Wichita Falls,TX,76308,9404683107,https://www.wyndhamhotels.com/laquinta/wichita-falls-texas/la-quinta-wichita-falls-msu-area/overview,33.863012000855,-98.533148038449
500 W Harvester,Pampa,TX,79065,8064861575,https://www.wyndhamhotels.com/laquinta/pampa-texas/la-quinta-pampa/overview,35.550039999909,-100.970402975087
4118 Faudree Rd.,Odessa,TX,79765,4322889026,https://www.wyndhamhotels.com/laquinta/odessa-texas/la-quinta-odessa-north-sienna-tower/overview,31.91766698934,-102.288910039835
9305 E Interstate 40,Amarillo,TX,79118,8063359572,https://www.wyndhamhotels.com/laquinta/amarillo-texas/la-quinta-amarillo-airport/overview,35.193636992571,-101.731314995201
1910 10th St.,Floresville,TX,78114,8305423077,https://www.wyndhamhotels.com/laquinta/floresville-texas/la-quinta-floresville/overview,29.13493598771,-98.145304973305
607 Texas Avenue,College Station,TX,77840,9796967777,https://www.wyndhamhotels.com/laquinta/college-station-texas/la-quinta-inn-college-station/overview,30.627946984315,-96.332745988077
110 S Sonoma Trl.,Ennis,TX,75119,9728754000,https://www.wyndhamhotels.com/laquinta/ennis-texas/la-quinta-ennis/overview,32.335703010827,-96.612982012617
7310 Calmont Ave.,Fort Worth,TX,76116,8172444777,https://www.wyndhamhotels.com/laquinta/fort-worth-texas/la-quinta-fort-worth-west-i-30/overview,32.734626993879,-97.443195021452
6504 Interstate 27 S,Lubbock,TX,79412,8067769100,https://www.wyndhamhotels.com/laquinta/lubbock-texas/la-quinta-lubbock-south/overview,33.535721983544,-101.846012958254
880 E I-20,Colorado City,TX,79512,3253075504,https://www.wyndhamhotels.com/laquinta/colorado-city-texas/la-quinta-colorado-city/overview,32.410265990724,-100.846296996272
7944 Gtwy E,El Paso,TX,79915,9155913300,https://www.wyndhamhotels.com/laquinta/el-paso-texas/la-quinta-el-paso-east/overview,31.75183401059,-106.346916009834
28332 SW Freeway 59,Rosenberg,TX,77471,8325956111,https://www.wyndhamhotels.com/laquinta/rosenberg-texas/la-quinta-houston-rosenberg/overview,29.532886999442,-95.811593027698
3750 Market St.,The Colony,TX,75056,4692940323,https://www.wyndhamhotels.com/laquinta/the-colony-texas/la-quinta-dallas-plano-the-colony/overview,33.063969990734,-96.896132005796
22025 US Highway 59,New Caney,TX,77357,2813541904,https://www.wyndhamhotels.com/laquinta/new-caney-texas/la-quinta-houston-new-caney/overview,30.127456001997,-95.228024979694
7620 North Mesa,El Paso,TX,79912,9155852999,https://www.wyndhamhotels.com/laquinta/el-paso-texas/la-quinta-el-paso-west-bartlett/overview,31.840036987253,-106.567520995889
1344 Eaton Drive,Sulphur Springs,TX,75482,9038858181,https://www.wyndhamhotels.com/laquinta/sulphur-springs-texas/la-quinta-sulphur-springs/overview,33.118628004155,-95.590579004768
27130 US-290,Cypress,TX,77429,2818693015,https://www.wyndhamhotels.com/laquinta/cypress-texas/la-quinta-houston-cypress/overview,29.939442769353,-95.653835155423
311 Stadium Dr.,Waxahachie,TX,75165,9723625724,https://www.wyndhamhotels.com/laquinta/waxahachie-texas/la-quinta-waxahachie/overview,32.416554010667,-96.83625001313
2108 Coulter Street,Amarillo,TX,79106,8063526311,https://www.wyndhamhotels.com/laquinta/amarillo-texas/la-quinta-inn-amarillo-west-medical-center/overview,35.189080003271,-101.921399041042
9002 Broadway,Pearland,TX,77584,2814125454,https://www.wyndhamhotels.com/laquinta/pearland-texas/la-quinta-pearland-houston-south/overview,29.558278005364,-95.359342999458
1631 Water St.,Gonzales,TX,78629,8305194255,https://www.wyndhamhotels.com/laquinta/gonzales-texas/la-quinta-gonzales/overview,29.512349995557,-97.46267297187
3490 E. Sam Houston Pkwy So,Pasadena,TX,77505,2816062249,https://www.wyndhamhotels.com/laquinta/pasadena-texas/la-quinta-pasadena/overview,29.658658001413,-95.158237002398
3000 S Loop 256,Palestine,TX,75801,9033575359,https://www.wyndhamhotels.com/laquinta/palestine-texas/la-quinta-palestine/overview,31.733988980639,-95.629434993318
2151 South Highway 77,Kingsville,TX,78363,3615923000,https://www.wyndhamhotels.com/laquinta/kingsville-texas/la-quinta-kingsville/overview,27.497027994831,-97.844938970099
2000 10th St.,Bridgeport,TX,76426,9406832040,https://www.wyndhamhotels.com/laquinta/bridgeport-texas/la-quinta-bridgeport/overview,33.221617999124,-97.756856986208
2552 S Southeast Loop 323,Tyler,TX,75701,9034819880,https://www.wyndhamhotels.com/laquinta/tyler-texas/la-quinta-tyler-university-area/overview,32.32192198854,-95.265186985612
2205 Pasadena Freeway,Pasadena,TX,77506,7134752205,https://www.wyndhamhotels.com/laquinta/pasadena-texas/la-quinta-pasadena-north/overview,29.713528998994,-95.183324038602
104 N LHS Dr.,Lumberton,TX,77657,4097513999,https://www.wyndhamhotels.com/laquinta/lumberton-texas/la-quinta-lumberton/overview,30.259327981742,-94.218006988158
2921 Hwy. 35 N,Rockport,TX,78382,3617279824,https://www.wyndhamhotels.com/laquinta/rockport-texas/la-quinta-rockport-fulton/overview,28.057986990576,-97.042262021938
10701 Lakeline Mall Dr.,Austin,TX,78717,7373342104,https://www.wyndhamhotels.com/laquinta/austin-texas/la-quinta-austin-nw-lakeline-mall/overview,30.475347647665,-97.792234736398
1838 Graham Rd.,College Station,TX,77845,9797046100,https://www.wyndhamhotels.com/laquinta/college-station-texas/la-quinta-college-station-south/overview,30.579215018348,-96.283894999085
2131 W Interstate 20,Grand Prairie,TX,75052,2147052815,https://www.wyndhamhotels.com/laquinta/grand-prairie-texas/la-quinta-dallas-grand-prairie-south/overview,32.674853002035,-97.032093013186
1017 North Loop 1604 E,San Antonio,TX,78232,2108994643,https://www.wyndhamhotels.com/laquinta/san-antonio-texas/la-quinta-san-antonio-north-stone-oak/overview,29.611827009177,-98.477864022589
1102 IH 20 W,Big Spring,TX,79720,4322714152,https://www.wyndhamhotels.com/laquinta/big-spring-texas/la-quinta-big-spring/overview,32.256986497372,-101.465701226702
825 North Watson Road,Arlington,TX,76011,8176404142,https://www.wyndhamhotels.com/laquinta/arlington-texas/la-quinta-arlington-north-6-flags-dr/overview,32.754719002524,-97.065802010273
6909 Atascocita Rd.,Humble,TX,77346,8326441609,https://www.wyndhamhotels.com/laquinta/humble-texas/la-quinta-houston-humble-atascocita/overview,29.996108016929,-95.173551996785
7220 Bob Bullock Loop,Laredo,TX,78041,9567247222,https://www.wyndhamhotels.com/laquinta/laredo-texas/la-quinta-laredo-airport/overview,27.56130998375,-99.444393012414
170 Medical Dr.,Pearsall,TX,78061,8308723277,https://www.wyndhamhotels.com/laquinta/pearsall-texas/la-quinta-pearsall/overview,28.898200992913,-99.118961011581
2451 Shadow View Ln.,Houston,TX,77077,8328569908,https://www.wyndhamhotels.com/laquinta/houston-texas/la-quinta-houston-energy-corridor/overview,29.73768698505,-95.60033503715
5155 I-37 North,Corpus Christi,TX,78408,3618885721,https://www.wyndhamhotels.com/laquinta/corpus-christi-texas/la-quinta-inn-corpus-christi-north/overview,27.802498996166,-97.452632960609
4001 Scots Legacy,Arlington,TX,76015,8174677756,https://www.wyndhamhotels.com/laquinta/arlington-texas/la-quinta-dallas-arlington-south/overview,32.679206017721,-97.123254005389
1000 Dowdy Ferry Road,Hutchins,TX,75141,9453560974,https://www.wyndhamhotels.com/laquinta/hutchins-texas/la-quinta-dallas-hutchins/overview,32.648802005057,-96.705287972794
128 North Expressway 77,Raymondville,TX,78580,9566894000,https://www.wyndhamhotels.com/laquinta/raymondville-texas/la-quinta-raymondville/overview,26.483805014977,-97.770361992424
10001 North Central Expressway,Dallas,TX,75231,2143618200,https://www.wyndhamhotels.com/laquinta/dallas-texas/la-quinta-dallas-north-central/overview,32.883075989263,-96.770959010707
4122 Faudree Rd.,Odessa,TX,79765,4322889041,https://www.wyndhamhotels.com/laquinta/odessa-texas/la-quinta-odessa-north/overview,31.918399986773,-102.288176036574
11901 North Mopac Expway,Austin,TX,78759,5128322121,https://www.wyndhamhotels.com/laquinta/austin-texas/la-quinta-austin-at-the-domain/overview,30.406806017462,-97.718861986752
1010 E Whitestone Blvd.,Cedar Park,TX,78613,5123797218,https://www.wyndhamhotels.com/laquinta/cedar-park-texas/la-quinta-austin-cedar-park/overview,30.524085229507,-97.817370974374
4850 West John Carpenter Freeway,Irving,TX,75063,9729154022,https://www.wyndhamhotels.com/laquinta/irving-texas/la-quinta-dallas-dfw-airport-north/overview,32.917458011265,-97.015832959216
3346 Forest Hill Crcl,Fort Worth,TX,76140,8173396977,https://www.wyndhamhotels.com/laquinta/fort-worth-texas/la-quinta-ft-worth-forest-hill-tx/overview,32.659554981002,-97.271779988553
4115 Marsha Sharp Fwy.,Lubbock,TX,79407,8067920065,https://www.wyndhamhotels.com/laquinta/lubbock-texas/la-quinta-lubbock-west-medical-center/overview,33.575837017771,-101.902090991802
2307 W Loop 306,San Angelo,TX,76904,3259490515,https://www.wyndhamhotels.com/laquinta/san-angelo-texas/la-quinta-inn-and-conference-center-san-angelo/overview,31.415244984168,-100.47591100469
5922 Northwest Expressway,San Antonio,TX,78201,7262074756,https://www.wyndhamhotels.com/laquinta/san-antonio-texas/la-quinta-inn-san-antonio-vance-jackson/overview,29.484326228695,-98.53360046541
